"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"1","4-18-96-7-NW",0,0,4.3605963666e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41128154266e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-19-85-6-NW",0,0,1.7973203075e-05,0,2.82171584342e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-19-91-19-NW",0,0,0,0,4.40233536953e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-19-95-1-NE",0,0,17.25602761124,10.784388799884,0,0,0,0,0,1.25363625677,0,0,8.05023083759634,0,0,0,0,0,0,0,0,6.293014938181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01858748689,0,0,0,0,3.98064715303,0,1.09728615497,0,3.43859896575,0,0,0,0,0,0,0,0,0,0,0,16.063180365939,0,0,0,0,0,0,0,0,0.0167220442312,0,0,0
"5","4-19-95-1-NW",0,0,9.89170547952,23.1055061686729,3.40431561644,0,0,0,0,0,4.486146282425,0,2.12747043285,0,0,0,0,0,0,0,0,7.378126281364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.313273173329,0,0,0,0,0,0,1.27347354053,3.0869794985,0,0,0,0,0,0,0,0,0,0,0,0,16.224725602827,0,0,0,0,0,0,0,0,0,0,0,0
"6","4-19-95-1-SE",0,0,29.596462743225,2.81997408522,1.17867486769,0,0,0,0,0,0,0,8.848412867811,3.93458971779,0,0,0,0,0,0,0,6.64089060423867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381839932652,0,0,0,0,0,0,0,0,0,0,0,7.02273045513918,0,0,0,0,0,0,0,0,0.99598225660939,0,0,0.052878853156499
"7","4-19-95-1-SW",0,0,1.8942122184,43.1535557131321,6.715733287723,0,0,0,0,2.42797911736,0.320542948115,0,0.806638653889,0,0,0,0,0,0,0,0,5.77314094451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09627661481e-06,0,0,0,0,0,0,0,6.756415331277,0,0,0,0,0,0,0,0,0,0,0,0,15.278078341257,0,0,0,0,0,0,0,0,0.3416252452813,0,0,0
"8","4-19-95-10-NE",0,0,0,10.7398765195335,1.7355642614884,0,0,0,0,0,0,0,0,0,1.970383940172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182533856721,0,0,0,0,1.90491895806,0,22.53113323571,8.98009255166,0,0,0,0,0,0,0,0,0,0,0,0,35.386528685562,0,0,0,0,0,0,0,0,0.1843605251895,0,0,0
"9","4-19-95-10-NW",0,0,2.31258055542,10.052298120863,8.214542321287,0,0,0,0,27.5910988198383,0,0,11.6350194082162,0,0,0,0,0,0,0,0,1.304469170337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196803621764,0,0,1.79615351406,0,0,0,0,0,0,0,0,0,0,0,0,30.7114018664084,0,0,0,0,0,0,0,0,0.3515667439692,0,0,0
"10","4-19-95-10-SE",0,0,7.59442692017,6.7381543549908,0.501019763824,0,0,0,0,4.62445585792,0,0,8.17994717503,0,0.0884004465434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13282432048,0,3.89005076733,23.24135292965,0,0,0,0,0,0,0,0,0,0,0,0,37.9770843219139,0,0,0,0,0,0,0,0,0,0,0,0
